#ID	ra	dec	r_clust	sky_i
1237667444585857168	195.83981	28.30904	50.544	99.884
1237667444585857184	195.87512	28.27470	51.494	99.884
1237667444585988306	196.17365	28.22753	65.775	99.884
1237667444585988317	196.18055	28.25157	66.477	99.884
1237667323797962970	195.53903	27.58936	37.958	99.884
1237667323798159536	196.05780	27.56009	62.910	99.905
1237667323798159557	196.06860	27.50638	64.763	99.884
1237667323798224983	196.30162	27.56975	74.814	99.884
1237667324335226892	196.53969	28.06443	83.543	99.884
1237667444049248461	196.47146	27.79572	80.495	99.884
1237667444585857114	195.74766	28.27535	45.274	99.884
1237667444585857153	195.80264	28.17250	45.948	99.884
1237667444585922613	195.96015	28.17864	54.114	99.884
1237667444585922740	196.04228	28.24795	59.372	99.884
1237667444585922800	195.89985	28.16697	50.848	99.884
1237667444585988282	196.13060	28.30193	64.781	99.884
1237667444585988288	196.15376	28.25051	65.091	99.884
1237667444585988328	196.20570	28.26944	68.037	99.884
1237667444586119179	196.45358	28.10654	79.203	99.884
1237665440978960400	194.91577	28.92655	57.572	99.835
1237665440978960466	194.91300	28.89552	55.719	99.835
1237665427552927902	194.91720	28.63080	39.849	99.835
1237665428089995515	195.43072	29.04466	69.082	99.862
1237665440441892890	194.39119	28.48226	43.313	99.839
1237665440979025953	195.10686	28.86781	54.493	99.835
1237665427553124587	195.44926	28.66021	48.740	99.835
1237665440442286144	195.36121	28.43589	34.987	99.774
1237665440978763955	194.52341	29.01736	67.149	99.835
1237665440979026068	195.13003	28.95053	59.578	99.835
1237665441516028062	195.48264	29.32278	85.711	99.862
1237667252945682613	194.45735	28.62426	47.676	99.835
1237667253482618902	194.57599	29.12878	72.617	99.835
1237665427552993436	195.01829	28.60348	38.225	99.835
1237665427553189967	195.49724	28.70947	52.585	99.862
1237665428089995563	195.43325	28.99954	66.609	99.835
1237665428089995663	195.44611	29.07664	71.163	99.862
1237665440441958487	194.56277	28.52178	39.479	99.835
1237665440442024035	194.73376	28.46363	32.175	99.774
1237665440442089547	194.83755	28.44148	29.209	99.774
1237665440442089583	194.89863	28.55136	35.180	99.835
1237665440442155197	195.00764	28.43482	28.091	99.774
1237665440442220827	195.31232	28.52175	37.925	99.835
1237665440978829317	194.55554	28.94810	62.666	99.835
1237665440979091535	195.31565	28.87218	57.295	99.835
1237665441515896903	195.19846	29.20079	74.969	99.835
1237667252945748097	194.58061	28.69851	48.328	99.835
1237665427552927881	194.87548	28.70013	44.185	99.835
1237665427552993478	195.09459	28.57447	37.012	99.835
1237665428089864334	195.16479	29.01941	63.944	99.835
1237665428089995273	195.39000	29.13059	73.240	99.835
1237665440441892891	194.38314	28.47694	43.389	99.839
1237665440441892998	194.47474	28.49981	41.146	99.835
1237665440442024094	194.70392	28.54000	37.011	99.835
1237665440442089601	194.92211	28.50720	32.432	99.835
1237665440978829339	194.61602	28.97413	63.127	99.835
1237665440978829404	194.62609	28.85884	56.381	99.835
1237665440979026019	195.05836	28.82816	51.835	99.835
1237665441516028047	195.43053	29.17836	76.628	99.835
1237667252945748053	194.53844	28.70856	49.844	99.835
1237667252945813654	194.78564	28.72822	46.596	99.835
1237667253482553389	194.44599	29.14951	76.005	99.835
1237667444585267360	194.36453	28.43970	42.581	99.818
1237665440978501687	193.73090	29.01238	90.387	99.818
1237667252945486149	193.93456	28.75460	72.071	99.818
